SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
3-Point1,1-Preload,0.000,28.9,-0,0.072
3-Point1,1-Preload,0.200,28.9,-0,-0.022
3-Point1,1-Preload,0.400,28.9,-0,0.001
3-Point1,1-Compress,0.410,28.9,-0,-0.022
3-Point1,1-Compress,0.610,28.89,0.01,0.072
3-Point1,1-Compress,0.810,28.88,0.02,-0.022
3-Point1,1-Compress,1.010,28.87,0.03,0.025
3-Point1,1-Compress,1.210,28.86,0.04,0.048
3-Point1,1-Compress,1.410,28.85,0.05,-0.022
3-Point1,1-Compress,1.610,28.84,0.06,0.119
3-Point1,1-Compress,1.810,28.83,0.07,0.426
3-Point1,1-Compress,2.010,28.82,0.08,0.992
3-Point1,1-Compress,2.210,28.81,0.09,1.747
3-Point1,1-Compress,2.410,28.8,0.1,2.620
3-Point1,1-Compress,2.610,28.79,0.11,3.470
3-Point1,1-Compress,2.810,28.78,0.12,4.437
3-Point1,1-Compress,3.010,28.77,0.13,5.381
3-Point1,1-Compress,3.210,28.76,0.14,6.160
3-Point1,1-Compress,3.410,28.75,0.15,7.033
3-Point1,1-Compress,3.610,28.74,0.16,7.646
3-Point1,1-Compress,3.810,28.729,0.171,8.448
3-Point1,1-Compress,4.010,28.72,0.18,8.991
3-Point1,1-Compress,4.210,28.71,0.19,9.841
3-Point1,1-Compress,4.410,28.7,0.2,10.313
3-Point1,1-Compress,4.610,28.69,0.21,11.162
3-Point1,1-Compress,4.810,28.68,0.22,11.587
3-Point1,1-Compress,5.010,28.669,0.231,12.389
3-Point1,1-Compress,5.210,28.66,0.24,12.955
3-Point1,1-Compress,5.410,28.65,0.25,13.734
3-Point1,1-Compress,5.610,28.64,0.26,14.182
3-Point1,1-Compress,5.810,28.63,0.27,14.772
3-Point1,1-Compress,6.010,28.62,0.28,15.032
3-Point1,1-Compress,6.210,28.609,0.291,15.456
3-Point1,1-Compress,6.410,28.599,0.301,15.716
3-Point1,1-Compress,6.610,28.59,0.31,16.235
3-Point1,1-Compress,6.810,28.58,0.32,16.518
3-Point1,1-Compress,7.010,28.57,0.33,16.565
3-Point1,1-Compress,7.210,28.56,0.34,16.849
3-Point1,1-Compress,7.410,28.549,0.351,17.084
3-Point1,1-Compress,7.610,28.539,0.361,17.415
3-Point1,1-Compress,7.810,28.529,0.371,17.320
3-Point1,1-Compress,8.010,28.52,0.38,17.698
3-Point1,1-Compress,8.210,28.51,0.39,17.297
3-Point1,1-Compress,8.410,28.499,0.401,16.778
3-Point1,1-Compress,8.610,28.489,0.411,16.353
3-Point1,1-Compress,8.810,28.479,0.421,16.329
3-Point1,1-Compress,9.010,28.469,0.431,15.433
3-Point1,1-Compress,9.210,28.46,0.44,13.710
3-Point1,1-Compress,9.410,28.45,0.45,12.932
3-Point1,1-Compress,9.610,28.439,0.461,12.955
3-Point1,1-Compress,9.810,28.429,0.471,12.766
3-Point1,1-Compress,10.010,28.419,0.481,12.766
3-Point1,1-Compress,10.210,28.409,0.491,12.436
3-Point1,1-Compress,10.410,28.399,0.501,12.247
3-Point1,1-Compress,10.610,28.389,0.511,12.082
3-Point1,1-Compress,10.810,28.379,0.521,11.964
3-Point1,1-Compress,11.010,28.369,0.531,11.775
3-Point1,1-Compress,11.210,28.359,0.541,11.657
3-Point1,1-Compress,11.410,28.349,0.551,11.445
3-Point1,1-Compress,11.610,28.339,0.561,3.092
3-Point1,1-Compress,11.810,28.329,0.571,0.261
